Q_ID	Ref_ANS	Stud_ANS	Class
9	جرائم النصب والاحتيال تصنف في المجموعة الأولى التي تقع على الانترنت أي أن الشبكة تكون محلا لها	جرائم القرصنة، تصنيفها جرائم تقع على الأنترنت )الشبكة هي محل الجريمة(	3
43	الإحساس الخاطئ بالأمن أمر خطير لأنه يؤدي إلى إهمال التدابير الأمنية على الرغم من عدم وجود نظام أمني مثالي  فيما يساعد الشعور العام بانعدام الأمن على منع المخاطر الأمنية  وتعزيز سياسة الأمن	الإحساس الخاطئ بالأمن يولد تهاونا وتراخيا في تطبيق سياسة أمن المعلومات عكس الإحساس الصحيح بعدم الأمن الذي يجعل المستخدم دائما يبحث عن طرق حماية البيانات	4
4	 إضفاء صفة المشروعية على الأموال القذرة المتأتية غالبا من التجارة غير المشروعة في المخدرات أو غيرها   بتوظيفها في نشاطات وهمية على الانترنت	هو تحويل الأموال غير الشرعية إلى أموال شرعية وذلك عبر محاولة ادخالها إلى البنوك المركزية لإعتبارها جهة تعمل بالاموال الشرعية و هذا عبر تغيير أو إضافة بيانات في قاعدة البيانات و أيضا استعمال بطاقات الائتمان و الاشتراك في تحويل أموال من الضحية الى المجرم .	3
11	 تحديد هوية المستخدم، إثبات هوية المستخدم،  صلاحيات المستخدم، تحديد مسئوليات المستخدم، الخصوصية  و عدم الإنكار 	تحديد هوية المستخدم، اثبات هوية المستخدم، تحديد صلاحيات المستخدم، تحديد مسؤوليات  المستخدم، عدم الانكار، الخصوصية	5
15	 تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع تبطئة حركة التصفح وانقطاعها على فترات.	سرقة المعلومات، تغيير المعلومات، حذف المعلومات، تغيير وجه الموقع.	3
24	يتم اختراق و تنزيل الأسرار الصناعية من كمبيوتر في إحدى الشركات وإرسالها بالبريد الإلكتروني مباشرة إلى منافستها، و قد تتم سرقة اختراع جديد في تكنولوجيا الكمبيوتر وبيعه بمبلغ كبير من المال بالإضافة إلى فساد وتواطؤ الموظفين	انزال اسرار صناعية من جهاز الكمبيوتر و ارسالها عبر البريد الالكتروني للشركة او الشركات او الطرف المنافس او سرقة اختراع في تكنولوجيا المعلومات وبيعه بمبلغ ضخم	5
10	ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية 	استعمال وسائل ضد الجريمة الالكترونية مثل وسائل الحماية المادية، الفنية و الإدارية، تحسيس الموظفين و تقديم لهم حصص لتوعيتهم.	2
37	 لأن العائد المادي لسياسة الأمن المبكر غير منظور مسبقا في غياب ثقافة الأمن	لعدم وعيها بمخاطر ضعف الأمن و عدم الرغبة في صرف أموال عن الأمن .	4
14	استخدام أساليب التلاعب النفسي عن طريق - الهاتف - صفحات الانترنت-   البريد الالكتروني وجها لوجه.	ايهام الضحية بانه فاز بمبلغ من المال او هدية، انتحال صفة مؤسسة رسمية وطلب المعلومات من الضحية	1
16	 تسجيل جميع ضغطات المفاتيح  وبالتالي كل كلمات المرور المدخلة على الكمبيوتر و أرقام البطاقات الائتمانية لغرض السرقة كما يستعمل أيضا لإثبات الهوية كقياس حيوي سلوكي .	تخزين كامل ضربات لوحة المفاتيح و بذلك تخزين معلومات الحاسوب كالارقام  السرية و البريد الالكتروني والكلمات السرية مما يسهل عملية الاختراق	3
15	 تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع تبطئة حركة التصفح وانقطاعها على فترات.	]   تغيير وجه الموقع سرقة بيانات الموقع، التحكم في سيرفر الموقع .	3
43	الإحساس الخاطئ بالأمن أمر خطير لأنه يؤدي إلى إهمال التدابير الأمنية على الرغم من عدم وجود نظام أمني مثالي  فيما يساعد الشعور العام بانعدام الأمن على منع المخاطر الأمنية  وتعزيز سياسة الأمن	لان لا يوجد نظام كامل الامن مما يخلق فرصة الى ارتكاب الجرائم  الالكترونية	1
3	هي ممارسة تستخدم أساليب التلاعب النفسي (العقلي) لإيذاء و خداع الآخرين والحصول على معلومات سرية يتم من خلالها اختراق الأمن بسبل غير تقنية عن طريق الهاتف أو البريد الالكتروني أو صفحات الانترنت أو وجها لوجه	مصطلح يستخدم لوصف شخص من الناحية النفسية لدراسة نقاطه السلبية	2
30	التوفير و السرية و التكامل للمعلومات	حماية أمن الأنظمة الضخمة من الاختراقات و الهجومات و ذلك يتمثل في حماية كافة الموارد المستخدمة في معالجة البيانات من اشخاص و حواسب و وسائل مستعملة في معالجة المعلومات في جميع المراحل(التخزين النقل و المعالجة)	1
36	 إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(	كلما كان البرنامج ضخما كانت الثغرات أكثر الأخطاء أكثر و بالتالي تحفيز المخترق على محاولة لتخريب البرنامج سواءا لإمتلاك البرنامج أو بدافع الفضول و التعري	4
1	هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها	هي سلوك غير قانوني يتم إستهلاك الأجهزة الإلكترونية ينتج من خلاله فوائد مادية و معنوية على المجرم و خسائر على الضحية .	3
31	تقارير إلى المنظمة بكيفية اختراق النظام مما يسمح للمنظمة بتحسين دفاعاتها ورفع مستوى الأمن ثغرات أمنية تسمح للمطور بتصحيح منتجه وتحسين أمانه قبل اختراقه .	استخراج الثغرات الأمنية في النظام. اقتراح حلول أمنية لهدم الثغرات. تحسين الأمن المعلوماتي.	5
16	 تسجيل جميع ضغطات المفاتيح  وبالتالي كل كلمات المرور المدخلة على الكمبيوتر و أرقام البطاقات الائتمانية لغرض السرقة كما يستعمل أيضا لإثبات الهوية كقياس حيوي سلوكي .	وظيفتها تسجيل أي حرف يكتب عن طريق لوحة المفاتيح و يتم عن طريقها سرقة كلمات المرور المكتوبة سابقا عن طريق لوحة و حتى سرقة المعلومات الخاصة بالمستخدم .	3
10	ثقافة أمن المعلومات، التشريع القانوني، التربية وثقافة الوعي واستعمال وسائل الحماية الفنية، الإدارية والمادية 	الأمن المعلوماتي، وعي و إخبار الناس، إثبات قوانين .	3
24	يتم اختراق و تنزيل الأسرار الصناعية من كمبيوتر في إحدى الشركات وإرسالها بالبريد الإلكتروني مباشرة إلى منافستها، و قد تتم سرقة اختراع جديد في تكنولوجيا الكمبيوتر وبيعه بمبلغ كبير من المال بالإضافة إلى فساد وتواطؤ الموظفين	ارسال معلومات صناعية عن منتوج معين	2
37	 لأن العائد المادي لسياسة الأمن المبكر غير منظور مسبقا في غياب ثقافة الأمن	الدعم المادي الناقص. جهل مدى خطورة اختراق الأمن.	2
40	بفضل الخادم الوكيل (البروكسي) الذي يقوم بإعداد إحصاءات عن المستخدمين و عن المواقع الإلكترونية التي يتصفحونها	يحصر جميع مستخدمي الشبكة في جهة واحدة من طرف البروكسي حيث يعمل عدة خدمات منها إعداد إحصاءات عن المواقع التي يزورها المستخدمين في الشبكة و منه خادم البروكسي يعرف عامة المستخدمين.	4
39	لا تترك أثرا لها بعد ارتكابها، تحتاج إلى خبرة فنية ويصعب على المحقق التقليدي التعامل معها، تعتمد على الخداع في ارتكابها، والتضليل في التعرف على مرتكبيها، تعتمد على قمة الذكاء .    	لا تترك أثر بعد إكمالها، المحقق التقليدي لن يجد حل لها، تعتمد على التحايل و الذكاء.	4
47	القرصنة هي جريمة اختراق وسرقة معلومات يقوم بها قراصنة القبعات السوداء دون اذن لاغراض تخريبية أما اختبار الاختراق فيتم فيه توظيف العديد من ذوي القبعات البيضاء لاختبار أنظمة أمان أجهزة الكمبيوتر في المؤسسات مما يسمح بتحديد عيوبها وثغراتها قصد تحسين دفاعاتها	القرصنة هي عملية الاختراق من دون رخصة، اختبار الاختراق: هي عملية اختراق برخصة	2
15	 تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع تبطئة حركة التصفح وانقطاعها على فترات.	تغيير محتوى الموقع، تستعمل الموقع للوصول الى مواقع أخرى محجوبة، جريمة اختراق.	2
15	 تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع تبطئة حركة التصفح وانقطاعها على فترات.	تغير وجه الموقع تغيير و سرقة و إزالة الأجهزة أو تخريبها أو تعطيلها .	4
28	 يتحكم الهاكر في الجهاز المخترق عبر باب خلفي يمكنه من : سرقة المعلومات كسرقة البريد الالكتروني، أو سرقة الهوية، تحميل ملفات من وإلى هذا الجهاز دون علم صاحبه، تركيب برمجيات تجسس على الجهاز.	يمكن فتح باب خلفي في النظام حيث يمكن المخترق من أخذ ملفات أو معلومات و حتى تسجيل ضربات المفاتيح .	4
2	حماية وتأمين كافة الموارد المستخدمة في معالجة المعلومات من منشآت نفسها والأفراد العاملين فيها وأجهزة الحاسب المستخدمة فيها ووسائط المعلومات التي تحتوي على البيانات    وذلك في جميع مراحل تواجد المعلومة (التخزين – النقل – المعالجة)	هو العلم الذي يقوم بنظريات و استراتيجيات الحماية للمعلومات من الاخطار التي تهددها	2
33	حجب  المواقع إعداد إحصاءات عن المواقع الإلكترونية لاستعمالها من طرف وكالات التسويق توفير عرض النطاق الترددي، إعداد إحصاءات المستخدم.	حجب مواقع معينة حتى لا يدخلها الموظفون	2
41	نقص الخبرة الفنية للمحققين المتعلقة باستعمال التكنولوجيا في إثبات الجرائم و عدم إدراج مختلف أنواع الجرائم الالكترونية في التشريع القانوني لأنها جرائم جديدة.	هي جرائم من الصعب اثباتها و من الصعب التعامل معها لذلك لا بد من بين قوانين مخصصة للمكافحة من هذه الجرائم الالكترونية	2
27	تطوير الخبرة الفنية للمحققين المتعلقة باستعمال التكنولوجيا في إثبات الجرائم، توسيع وإدراج مختلف أنواع الجرائم الالكترونية تحت طائلة التشريع القانوني.	تصدير قوانين دقيقة و صارمة في كل مجال من مجالات الجريمة الإلكترونية، العمل بطرق الحماية : المادية الغنية الإدارية و توعية الموظفين بحملات و شرحات داخل الوطن.	1
6	هي عنف منظم تقوم به جماعات ترتكب أفعالا تخترق بها القانون للحصول على مكاسب مالية، بطرق وأساليب غير مشروعة تنفذ بعد تدبير وتنظيم	هي جريمة تقع على الإنترنت بحيث يستهدف المجرم المعلومات المتواجد فيها منقولة أو مخزنة فيها وهي منظمة جدا و هي أنواع الإختراق قرصنة مواقع معادية التجسس الإلكتروني الإرهاب الإلكتروني	2
37	 لأن العائد المادي لسياسة الأمن المبكر غير منظور مسبقا في غياب ثقافة الأمن	غياب الوعي.	1
38	 نظرا لتكتم الضحايا على الجرائم تفاديا للإعلان والتشهير لما فيه من إساءة للعائلات أو لسمعة المؤسسات بالإضافة إلى أن الكثير من الجرائم لا تترك أثرا	لكثرة انتشارها ولزلك بعض الجرائم لم يستطع الكشف عنها بتاتا	1
5	هو العلم الذي يستخدم التحليل الإحصائي لصفات الإنسان الحيوية وذلك للتأكد من هويته الشخصية باستخدام صفاته الفريدة وهي صفات سلوكية وصفات فيزيائية	هو علم يدرس حالة الانسان الفريدة التي تميز شخصا عن اخر	1
8	المعاكسات، السب والقذف، التشهير، تخويف أو تهديد، نشر صور غير لائقة	التشهير السب الشتم و المضايقة القذف  نشر صوره الشخصية	5
1	هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها	أساليب و أفعال غير قانونية تستهدف الحواسيب والبرامج الالكترونية بواسطة الهواتف النقالة والانترنت هدفها أخذ أو تغيير أو اتلاف المعلومات و كذا التجسس على الأفراد و تشويه سمعتهم مقابل ربح مادي.	4
35	تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها	تزايد فرص الاجرام نتيجة تزايد وتطور التقنيات و الاجهزة الالكترونية	3
36	 إن تطوير البرامج الضخمة ينتج عنه ثغرات أمنية أكثر وصعوبات في التحكم فيها خاصة مع تزايد عدد المخترقين وسرعة الهجمات )كلما كبر البرنامج كلما كبرت الثغرات الأمنية(	كلما كبر و تعقد البرنامج كلما زادت قابليته و حساسيته للإختراق و لهذا يكون توفير الأمن فيه تحديا صعبا و خاصة من جميع النواحي	4
45	الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة	قراصنة القبعات الرمادية يقومون باختراق المواقع و سرقة المعلومات مع نشر هذه الأخيرة بدون إذن بينما قراصنة القبعات السوداء يقومون باختراق المواقع و البرامج من أجل فوائد مالية	4
39	لا تترك أثرا لها بعد ارتكابها، تحتاج إلى خبرة فنية ويصعب على المحقق التقليدي التعامل معها، تعتمد على الخداع في ارتكابها، والتضليل في التعرف على مرتكبيها، تعتمد على قمة الذكاء .    	لا تترك أثار، تستخدم بمهارات فنية عالية  يصعب على المحقق التقليدي التحقيق، قمة ذكاء المجرمون و علمهم بكيفية عمل أجهزة تمكنهم من عدم ترك أثار.	4
15	 تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع تبطئة حركة التصفح وانقطاعها على فترات.	سرقة البيانات و تخريبها.	1
23	جرائم القرصنة وانتهاك الخصوصية. تصنف في المجموعة الاولى  التي تقع على الانترنت  أي أن الشبكة تكون محلا لها	التجسس والتسلل للموقع .	2
48	 الفيروس و برنامج الإنزال برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى يقوم برنامج الإنزال بمراوغة برامج مكافحة الفيروسات بنقل وتركيب الفيروسات المحمولة في طياته	الفيروس: هو برنامج يقوم بأعمال تخريبية للبرامج المثبتة على الحاسوب أما برامج لانزال	1
41	نقص الخبرة الفنية للمحققين المتعلقة باستعمال التكنولوجيا في إثبات الجرائم و عدم إدراج مختلف أنواع الجرائم الالكترونية في التشريع القانوني لأنها جرائم جديدة.	لاستعمال المجرم طرق تقنية يصعب على المحقق العادي العمل بها، عدم وجود احصائيات دقيقة، اغلب الجرائم لا تترك اثر	2
46	الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        	الفيروسات تكون مرتبطة ببرامج أخرى أما الدود تكون مستقلة .	1
37	 لأن العائد المادي لسياسة الأمن المبكر غير منظور مسبقا في غياب ثقافة الأمن	لان كلما يزداد تطور البرامج يزداد معه عدد الثغرات و زيادة عدد المخترقين و يقابله زيادة عدد الجرائم الالكترونية و العائد المادي غير منظور	2
35	تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها	تطور ادوات الاختراق الالكتروني، سرعة الهجمات، تطور الانترانت وبالتالي زيادة عدد المخترقين، تطوير البرامج الضخمة مما يترك ثغرات امنية	5
20	كلمة المرورالقياس الحيويالتشفير الجدران النارية، التوقيع الالكتروني. 	سلوكية كالصوت التوقيع اليدوي ضربات لوحة المفاتيح، فيزيائية كبصمة اليد و الاصبع و الوجه القزحية	1
29	الأمن والخصوصية، البديل لحمل الوثائق الثبوتية البديل لحفظ وتذكر الأرقام السرية، تأمين سرية العمليات المالية.	تحديد هوية المستخدمين تحديد مسؤوليتهم تحديد صلاحية المستخدمين تثبيت هوية المستخدميناعداد و صياغة امن المعلومات.	4
34	يثق الإنسان بالآخرين فيسهل خداعه عن طريق الهندسة الاجتماعية النفسية بحيث يمكن اختراق الأمن بسبل غير تقنية لا توجد تقنية تمنع خداع الإنسان، اختراق الإنسان أسهل من اختراق الأجهزة خاصة في ضوء قلة التوعية.	لأن اختراق الإنسان أكثر سهولة من اختراق الأجهزة حيث يمكن اغراءه سهولة .	2
22	النسخ  غير القانوني  للبرامج، توزيع المواد ذات حقوق النشر بطريقة غير قانونية بما في ذلك الصور في الصيغة الإلكترونية والمطبوعة، والمواد المرئية والسمعية والمخزنة على شرائط أو أقراص مرنة، أو أقراص مدمجة أو على الحاسب.	نسخ غير قانونية للبرامج، توزيع البرامج ذات حقوق النشر بصفة غير قانونية	4
46	الدود و الفيروسات برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى تستغل الدودة فجوات في نظام التشغيل للقيام بهجوم مباشر        	الفيروسات تعمل من خلال البرامج اخرجى، بينما ان الدود  تستغل الثغرات الموجودة في نظام التشغيل التي تنتشر من جهاز الى آخر.	2
42	النمو السريع في استخدامات التطبيقات الإلكترونية واستخدام الانترنت  والتي تتطلب بيئة آمنة. (التجارة الإلكترونية، والحكومة الإلكترونية.) سرعة تغير مجال التقنية المعلوماتية، تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية.	المعلومة هي أهم ما في النظام المعلوماتي يجب عدم سرقتها تغييرها أو حذفها فهذا ان حدث يعود بخسائر و اضطرابات للمنشأة و تضعف قوتها	1
45	الاثنين عملهما تخريبي لتحقيق مكاسب شخصية بالنسبة لقراصنة القبعات السوداء و بدون  مكاسب بالنسبة لقراصنة القبعات الرمادية التي ترتكب جرائم غير أخلاقية  كاختراق نظام أمان بدون إذن أو الكشف العلني لعيوب الأمن في أنظمة المؤسسات وإن كانت بدون نية تخريبية مسبقة	قراصنة القبعات السوداء يقومون باختراق النظام لأغراض سيئة و حسب حاجيته الشخصية اما قراصنة القبعات الرمادية فهي تقوم باختراق الانظمة بهدف اكتشاف الثغرات و طرح اصلاحه على المنظمة المخترقة	4
48	 الفيروس و برنامج الإنزال برامج ماكرة هدفها تخريبي تختلف في طريقة العمل أو الهجوم فبينما يكرر الفيروس نفسه باقترانه ببرامج أخرى يقوم برنامج الإنزال بمراوغة برامج مكافحة الفيروسات بنقل وتركيب الفيروسات المحمولة في طياته	الفيروس يعتبر برنامج يقوم مباشرة بتخريب البيانات و يمكنه نسخ نفسه أما البرنامج الإنزال فيكون متخفيا في الحاسب و ينتظر الوقت المناسب للهجوم	2
18	الحمض النووي - قزحية العين - بصمة اليد -  بصمة الإصبع - الوجه 	بصمة اليد، بصمة الاصبع، قزحة العين، الصوت، الوجه،الحمض النووي،شبكة العين.	4
35	تزايد عدد المخترقين ويقابلها زيادة عدد الثغرات الأمنية للأجهزة والبرامج يوفر فرصاً للإجرام الإلكتروني بالإضافة إلى تطور برامج الاختراق وسهولة استعمالها	الذكاء الخارق للمخترقين، لا يترك  اثر من الصعب تحديد مكان المخترقين تطور وسائل الاختراق و زيادة عدد المتكتمين و نقص القوانين، نقص الدعم المالي، سرعة الهجمات و عدد الثغرات في الانظمة	2
23	جرائم القرصنة وانتهاك الخصوصية. تصنف في المجموعة الاولى  التي تقع على الانترنت  أي أن الشبكة تكون محلا لها	الجرائم التي تكون محل وقوعها الانترنت، نوعها جرائم القرصنة.	4
6	هي عنف منظم تقوم به جماعات ترتكب أفعالا تخترق بها القانون للحصول على مكاسب مالية، بطرق وأساليب غير مشروعة تنفذ بعد تدبير وتنظيم	جريمة تقع على الإنترنت تتركز على النظام هدفها غالبا اختلاس الأموال. تكون أحيانا تواطؤ بين عمال منظمة و كراكرز	2
15	 تغيير أو سرقة أو  إزالة المعلومات التي يطالها المخترق، تخريب وتعطيل الأجهزة، تغيير وجه المواقع تبطئة حركة التصفح وانقطاعها على فترات.	سرقة المعلومات أو تغييرها أو اتلافها، التجسس، تغيير وجه الموقع	3
28	 يتحكم الهاكر في الجهاز المخترق عبر باب خلفي يمكنه من : سرقة المعلومات كسرقة البريد الالكتروني، أو سرقة الهوية، تحميل ملفات من وإلى هذا الجهاز دون علم صاحبه، تركيب برمجيات تجسس على الجهاز.	التحكم في الجهاز و تحويل البيانات منه و اليه دون علم صاحبه، تثبيت برامج خاصة بتسجيل نقرات لوحة المفاتيح  وتبعث او اوتوماتيكيا الى المخرب اما يسمح له بالحصول على المعلومات الشخصية و كلمات المرور	5
26	 جرائم السطو على أرقام البطاقات الائتمانية تزوير البيانات الجرائم المنظمة تجارة المخدرات، غسيل الأموال.  	تبييض و غسيل الأموال، السطو على البنوك.	2
26	 جرائم السطو على أرقام البطاقات الائتمانية تزوير البيانات الجرائم المنظمة تجارة المخدرات، غسيل الأموال.  	أي قرصنة المواقع، هي من الجرائم التي تقع على الانترنت.	4
